wall_time,timestamp,domain,R,theta_net_deg,predicted_benefit_deg
1761838457,3.0,🛰️ Spacecraft,0.01911344755384381,87.82459267075446,42.97220760230545
1761839278,3.0,🛰️ Spacecraft,0.01911344755384381,87.82459267075446,42.97220760230545
1761839279,3.0,🛰️ Spacecraft,0.01911344755384381,87.82459267075446,42.97220760230545
1761839279,3.0,🛰️ Spacecraft,0.01911344755384381,87.82459267075446,42.97220760230545
1761839280,3.0,🛰️ Spacecraft,0.01911344755384381,87.82459267075446,42.97220760230545
1761839281,3.0,🛰️ Spacecraft,0.01911344755384381,87.82459267075446,42.97220760230545
1761839282,3.0,🛰️ Spacecraft,0.01911344755384381,87.82459267075446,42.97220760230545
1761839282,3.0,🛰️ Spacecraft,0.01911344755384381,87.82459267075446,42.97220760230545
1761839283,3.0,🛰️ Spacecraft,0.01911344755384381,87.82459267075446,42.97220760230545
1761839284,3.8,🛰️ Spacecraft,0.030593699440070288,121.97217346437309,67.28626809377052
1761839285,3.8,🛰️ Spacecraft,0.030593699440070288,121.97217346437309,67.28626809377052
1761839286,3.8,🛰️ Spacecraft,0.030593699440070288,121.97217346437309,67.28626809377052
1761839286,3.8,🛰️ Spacecraft,0.030593699440070288,121.97217346437309,67.28626809377052
1761839287,3.8,🛰️ Spacecraft,0.030593699440070288,121.97217346437309,67.28626809377052
1761839288,3.8,🛰️ Spacecraft,0.030593699440070288,121.97217346437309,67.28626809377052
1761839289,3.8,🛰️ Spacecraft,0.030593699440070288,121.97217346437309,67.28626809377052
1761839290,3.8,🛰️ Spacecraft,0.030593699440070288,121.97217346437309,67.28626809377052
1761839291,3.8,🛰️ Spacecraft,0.030593699440070288,121.97217346437309,67.28626809377052
1761839292,3.8,🛰️ Spacecraft,0.030593699440070288,121.97217346437309,67.28626809377052
1761839292,4.800000000000001,🛰️ Spacecraft,0.008022147390963408,142.35907411560427,127.28505876636693
1761839293,4.800000000000001,🛰️ Spacecraft,0.008022147390963408,142.35907411560427,127.28505876636693
1761839294,4.800000000000001,🛰️ Spacecraft,0.008022147390963408,142.35907411560427,127.28505876636693
1761839295,4.800000000000001,🛰️ Spacecraft,0.008022147390963408,142.35907411560427,127.28505876636693
1761839296,4.800000000000001,🛰️ Spacecraft,0.008022147390963408,142.35907411560427,127.28505876636693
1761839297,4.800000000000001,🛰️ Spacecraft,0.008022147390963408,142.35907411560427,127.28505876636693
1761839298,4.800000000000001,🛰️ Spacecraft,0.008022147390963408,142.35907411560427,127.28505876636693
1761839299,5.5,🛰️ Spacecraft,0.03857646571805662,117.30418804141787,190.3476076672925
1761839300,5.6000000000000005,🛰️ Spacecraft,0.014084333020100814,119.44063402111487,155.2831280208256
1761839301,5.7,🛰️ Spacecraft,0.020990547491604006,117.03661706255004,160.22065413649014
1761839302,5.7,🛰️ Spacecraft,0.020990547491604006,117.03661706255004,160.22065413649014
1761839303,5.7,🛰️ Spacecraft,0.020990547491604006,117.03661706255004,160.22065413649014
1761839305,5.7,🛰️ Spacecraft,0.020990547491604006,117.03661706255004,160.22065413649014
1761839306,5.7,🛰️ Spacecraft,0.020990547491604006,117.03661706255004,160.22065413649014
1761839307,5.7,🛰️ Spacecraft,0.020990547491604006,117.03661706255004,160.22065413649014
1761839308,6.300000000000001,🛰️ Spacecraft,0.03227364817827938,90.41204484158837,0.013486780399590455
1761839309,6.300000000000001,🛰️ Spacecraft,0.03227364817827938,90.41204484158837,0.013486780399590455
1761839310,6.300000000000001,🛰️ Spacecraft,0.03227364817827938,90.41204484158837,0.013486780399590455
1761839312,6.300000000000001,🛰️ Spacecraft,0.03227364817827938,90.41204484158837,0.013486780399590455
1761839313,6.300000000000001,🛰️ Spacecraft,0.03227364817827938,90.41204484158837,0.013486780399590455
1761839314,6.300000000000001,🛰️ Spacecraft,0.03227364817827938,90.41204484158837,0.013486780399590455
1761839315,6.300000000000001,🛰️ Spacecraft,0.03227364817827938,90.41204484158837,0.013486780399590455
1761839316,6.300000000000001,🛰️ Spacecraft,0.03227364817827938,90.41204484158837,0.013486780399590455
1761839318,6.300000000000001,🛰️ Spacecraft,0.03227364817827938,90.41204484158837,0.013486780399590455
1761839319,6.300000000000001,🛰️ Spacecraft,0.03227364817827938,90.41204484158837,0.013486780399590455
1761839320,6.300000000000001,🛰️ Spacecraft,0.03227364817827938,90.41204484158837,0.013486780399590455
1761839321,6.300000000000001,🛰️ Spacecraft,0.03227364817827938,90.41204484158837,0.013486780399590455
1761839322,6.300000000000001,🛰️ Spacecraft,0.03227364817827938,90.41204484158837,0.013486780399590455
1761839324,7.6,🛰️ Spacecraft,0.006037331347891195,85.9638191852376,43.93744553685492
1761839325,7.7,🛰️ Spacecraft,0.017508758191610574,88.85698768397798,58.47128068419543
1761839326,7.75,🛰️ Spacecraft,0.010851252909458764,87.9974712761335,89.94114858846683
1761840761,7.75,🛰️ Spacecraft,0.010851252909458764,87.9974712761335,89.94114858846683
1761840911,7.75,🛰️ Spacecraft,0.010851252909458764,87.9974712761335,89.94114858846683
